Modalidade de apoio,count
Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE,3465
Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE,2138
Auxílio à Pesquisa - PAPPE / PIPE III,61
Auxílio à Pesquisa - Programa BIOEN - PIPE,11
Bolsas no Brasil - Programa BIOEN - PIPE,8
Auxílio à Pesquisa - Programa BIOTA - PIPE,4
Bolsas no Brasil - Programa eScience e Data Science - PIPE,4
Auxílio à Pesquisa - Programa eScience e Data Science - PIPE,4
Bolsas no Brasil - Programa BIOTA - PIPE,2
Bolsas no Brasil - Programa de Pesquisa sobre Mudanças Climáticas Globais - PIPE,1
Auxílio à Pesquisa - Programa de Pesquisa sobre Mudanças Climáticas Globais - PIPE,1
