Município,Quantidade de Empresas
São Paulo,931
Campinas,477
São Carlos,432
São José dos Campos,260
Ribeirão Preto,194
Piracicaba,138
Sorocaba,58
Botucatu,55
Araraquara,52
São José do Rio Preto,43
São Caetano do Sul,31
São Bernardo do Campo,27
Jaboticabal,27
Mogi das Cruzes,23
Santo André,22
Cotia,22
Santana de Parnaíba,22
Pirassununga,19
Limeira,18
Valinhos,18
Jundiaí,17
Indaiatuba,17
Rio Claro,16
Paulínia,16
Barueri,15
Cajamar,15
Santos,15
Cravinhos,14
Santa Bárbara D'Oeste,13
Araras,12
Bauru,12
Mogi Guaçu,11
Holambra,11
Vinhedo,11
Sertãozinho,10
Itu,9
Barretos,8
Guarulhos,8
Franca,8
Rafard,8
Mogi Mirim,8
Cajobi,8
Araçatuba,8
Jacareí,7
Engenheiro Coelho,7
Diadema,7
Taubaté,7
Marília,7
Presidente Prudente,7
Manaus,6
Osasco,6
Bragança Paulista,6
Votuporanga,6
Amparo,5
Americana,5
Jaguariúna,5
Hortolândia,5
Mococa,5
São Roque,5
Suzano,4
Matão,4
Ribeirão Pires,4
Santo Antônio de Posse,4
Registro,4
Descalvado,4
Assis,4
Capivari,4
Catanduva,4
Serrana,3
Piracaia,3
Pindamonhangaba,3
Poá,3
Itapira,3
Ilha Solteira,3
Adamantina,3
Araçoiaba da Serra,3
Atibaia,3
Orlândia,3
Itatiba,3
Itapetininga,3
Rio das Pedras,3
Sumaré,3
Ferraz de Vasconcelos,3
Guararema,3
Jambeiro,3
Riolândia,3
Taboão da Serra,3
Mauá,2
São Joaquim da Barra,2
Rio de Janeiro,2
Jandira,2
Itupeva,2
Pindorama,2
São Vicente,2
Taquaral,2
Serra,2
Dois Córregos,2
Birigüi,2
Araçariguama,2
Arujá,2
Alumínio,2
Artur Nogueira,2
Carapicuíba,2
Charqueada,2
Campo Limpo Paulista,2
Ariranha,2
Socorro,2
Jaú,2
Jarinu,2
Monte Aprazível,2
Cerquilho,2
Brotas,2
Garça,2
Paraibuna,2
Lorena,2
Patrocínio Paulista,2
Dumont,1
Boituva,1
Conchal,1
Cajuru,1
Batatais,1
Avaré,1
Bertioga,1
Alambari,1
Angatuba,1
Américo de Campos,1
Brodowski,1
Caieiras,1
Cajati,1
Ilhabela,1
Ilha Comprida,1
Guaratinguetá,1
Guzolândia,1
Espírito Santo do Pinhal,1
Estiva Gerbi,1
Francisco Morato,1
Guapiaçu,1
Itararé,1
Itapecerica da Serra,1
Juquiá,1
Juquitiba,1
Iperó,1
Itapeva,1
Ipeúna,1
Itirapuã,1
Pereiras,1
Pedreira,1
Palestina,1
Nova Odessa,1
Monte Mor,1
Monte Alto,1
Mairinque,1
Mirassol,1
Lençóis Paulista,1
Leme,1
Santa Cruz das Palmeiras,1
Santa Maria da Serra,1
Porto Feliz,1
Pompéia,1
Rancharia,1
Praia Grande,1
Serra Negra,1
Salto,1
São Manuel,1
São Luiz do Paraitinga,1
São João da Boa Vista,1
São Miguel Arcanjo,1
São Lourenço da Serra,1
Tarumã,1
Ubatuba,1
Tupã,1
Tatuí,1
Vargem Grande do Sul,1
Vista Alegre do Alto,1
Vitória,1
Votorantim,1
Álvaro de Carvalho,1
