Área do Conhecimento,Quantidade de Empresas
Ciência da Computação,244
Engenharia Elétrica,228
Engenharia de Materiais e Metalúrgica,168
Não Informado,156
Engenharia Mecânica,117
Engenharia Biomédica,107
Agronomia,106
Química,100
Engenharia Química,82
Medicina,74
Microbiologia,71
Farmácia,67
Ciência e Tecnologia de Alimentos,66
Engenharia Agrícola,60
Medicina Veterinária,54
Engenharia Aeroespacial,49
Engenharia de Produção,49
Bioquímica,41
Genética,40
Recursos Pesqueiros e Engenharia de Pesca,39
Física,38
Zootecnia,36
Engenharia Sanitária,34
Geociências,31
Saúde Coletiva,30
Recursos Florestais e Engenharia Florestal,30
Administração,26
Engenharia Civil,26
Odontologia,24
Educação,20
Engenharia de Transportes,17
Imunologia,16
Biologia Geral,16
Farmacologia,15
Ecologia,12
Economia,12
Biofísica,11
Fisioterapia e Terapia Ocupacional,10
Botânica,10
Arquitetura e Urbanismo,9
Nutrição,8
Zoologia,8
Engenharia de Minas,7
Engenharia Nuclear,7
Probabilidade e Estatística,6
Engenharia Naval e Oceânica,6
Desenho Industrial,6
Oceanografia,5
Matemática,5
Planejamento Urbano e Regional,4
Educação Física,4
Artes,4
Parasitologia,3
Enfermagem,3
Comunicação,3
Fonoaudiologia,3
Ciência Política,2
Ciência da Informação,2
Linguística,2
Morfologia,2
Psicologia,2
Turismo,2
Museologia,1
