Município,Quantidade de Empresas Distintas
São Paulo,615
Campinas,253
São Carlos,219
São José dos Campos,133
Ribeirão Preto,90
Piracicaba,73
Botucatu,35
Sorocaba,32
Araraquara,27
São José do Rio Preto,22
Jaboticabal,19
Santana de Parnaíba,17
Indaiatuba,16
São Bernardo do Campo,16
Santo André,15
Cotia,14
Pirassununga,14
Jundiaí,13
Limeira,13
São Caetano do Sul,13
Barueri,13
Rio Claro,12
Mogi das Cruzes,12
Valinhos,11
Bauru,10
Santa Bárbara D'Oeste,10
Santos,9
Paulínia,9
Mogi Guaçu,8
Cravinhos,8
Guarulhos,7
Itu,7
Marília,7
Barretos,7
Vinhedo,7
Osasco,6
Franca,6
Jacareí,6
Sertãozinho,6
Taubaté,6
Araçatuba,5
Diadema,5
Araras,5
Holambra,5
Presidente Prudente,5
São Roque,4
Matão,4
Americana,4
Atibaia,3
Bragança Paulista,3
Cajamar,3
Catanduva,3
Descalvado,3
Jaguariúna,3
Jambeiro,3
Itapetininga,3
Poá,3
Taboão da Serra,3
Santo Antônio de Posse,3
Suzano,3
Itatiba,3
Hortolândia,3
Registro,3
Pindamonhangaba,3
Ilha Solteira,3
Mococa,3
Mogi Mirim,3
Pindorama,2
Serrana,2
Rio de Janeiro,2
Brotas,2
Birigüi,2
Alumínio,2
Assis,2
Araçariguama,2
Campo Limpo Paulista,2
Cajobi,2
Adamantina,2
Artur Nogueira,2
Amparo,2
Engenheiro Coelho,2
Sumaré,2
Jarinu,2
Jandira,2
Mauá,2
Itapira,2
Ribeirão Pires,2
Socorro,2
Paraibuna,2
Orlândia,2
Garça,2
Itupeva,2
São Vicente,2
Capivari,1
Dois Córregos,1
Conchal,1
Cajuru,1
Américo de Campos,1
Araçoiaba da Serra,1
Alambari,1
Angatuba,1
Ariranha,1
Carapicuíba,1
Cerquilho,1
Charqueada,1
Boituva,1
Bertioga,1
Avaré,1
Batatais,1
Caieiras,1
Brodowski,1
Cajati,1
Arujá,1
Dumont,1
Pereiras,1
Patrocínio Paulista,1
Palestina,1
Monte Alto,1
Monte Aprazível,1
Monte Mor,1
Nova Odessa,1
Lençóis Paulista,1
Leme,1
Juquiá,1
Juquitiba,1
Manaus,1
Mairinque,1
Lorena,1
Mirassol,1
Jaú,1
Ilha Comprida,1
Guaratinguetá,1
Guzolândia,1
Ferraz de Vasconcelos,1
Francisco Morato,1
Guapiaçu,1
Guararema,1
Espírito Santo do Pinhal,1
Estiva Gerbi,1
Itararé,1
Itapecerica da Serra,1
Iperó,1
Itapeva,1
Ipeúna,1
Itirapuã,1
Ilhabela,1
Pedreira,1
Serra Negra,1
Rio das Pedras,1
Salto,1
Serra,1
Santa Cruz das Palmeiras,1
Rafard,1
Porto Feliz,1
Rancharia,1
Piracaia,1
Pompéia,1
Praia Grande,1
Riolândia,1
Santa Maria da Serra,1
São Joaquim da Barra,1
São Manuel,1
São Miguel Arcanjo,1
São Lourenço da Serra,1
São Luiz do Paraitinga,1
São João da Boa Vista,1
Tatuí,1
Tarumã,1
Taquaral,1
Ubatuba,1
Tupã,1
Vargem Grande do Sul,1
Vista Alegre do Alto,1
Vitória,1
Votorantim,1
Votuporanga,1
Álvaro de Carvalho,1
