Pesquisador Responsável,Pesquisador responsável no exterior,Pesquisadores Associados,País (Acordo/Convênio)
Gabriel Martins Palma Perez,Não Informado,Não Informado,Organizações multinacionais
Gabriel Martins Palma Perez,Não Informado,Maria de Fátima Andrade - Thiago Nogueira - Thomas Christian Marcel Martin,Organizações multinacionais
Luis Fernando Villaça Meyer,Dr Thomas Bartoschek,Não Informado,Organizações multinacionais
Hélida Gomes de Oliveira Barud,Não Informado,Clovis Augusto Ribeiro - Marisa Masumi Beppu,Canadá
Eduardo Carità,Não Informado,Fabiana Regina Nonato - Guilherme Gigliotti Leoneli,Canadá
Jan Carlo Morais Oliveira Bertassoni Delorenzi,Não Informado,Manuel Salustiano Almeida Saavedra,Canadá
Rafael Antonio da Silva Rosa,Não Informado,Não Informado,Canadá
Daniel Blasioli Dentillo,Daniel Mamelak,Regina Célia Moreira,Canadá
Kerly Fernanda Mesquita Pasqualoto,Não Informado,Alcindo Aparecido dos Santos - Gizele Celante - Marcos Felipe Pinatto Botelho - Ricardo Alexandre de Azevedo - Salomão Dória Jorge,Espanha
Cleber Gonzales de Oliveira,Bruce McArthur,Não Informado,Canadá
Marcos Costa Valadares,Rui Reis; Caterina  Cristallini,Não Informado,Organizações multinacionais
Daíse Moreno Sás,Pam Roberts,Debora Colombi,Canadá
Haroldo Ferreira de Araújo,Não Informado,Não Informado,Alemanha
Rachel Zuanon Dias,PATRICK CROWE,Não Informado,Canadá
Carlos Alberto Flávio Correa,Não Informado,Não Informado,Canadá
Celio Costa Vaz,Rob Schleicher,Não Informado,Canadá
Carlos Alberto Flávio Correa,Prof. Mohini M Sain,Não Informado,Canadá
