Área do Conhecimento,Empresa
Farmácia,17
Medicina,10
Engenharia Biomédica,6
Engenharia Química,6
Microbiologia,6
Química,6
Engenharia Elétrica,5
Medicina Veterinária,5
Bioquímica,5
Ciência da Computação,4
Agronomia,4
Imunologia,3
Genética,3
Engenharia Agrícola,3
Ciência e Tecnologia de Alimentos,2
Odontologia,2
Saúde Coletiva,2
Zootecnia,2
Farmacologia,2
Engenharia Mecânica,2
Administração,2
Biofísica,1
Biologia Geral,1
Ecologia,1
Educação,1
Enfermagem,1
Engenharia Aeroespacial,1
Fisioterapia e Terapia Ocupacional,1
Física,1
Engenharia de Transportes,1
Parasitologia,1
