Empresa,Quantidade
In Situ Terapia Celular Ltda,8
Invent Biotecnologia Ltda. - ME,8
MRA Indústria de Equipamentos Eletrônicos Ltda,8
Agrobee Soluções em Polinização e Sustentabilidade Ltda,7
Innolution Sistemas de Informática Ltda,7
Apis Flora Industrial e Comercial Ltda,7
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,7
Decoy Tecnologia em Controle de Pragas S/A,5
Labmaq do Brasil Ltda,5
Living Out Laboratório de Testes Celulares In Vitro Ltda,4
Onkos Diagnósticos Moleculares Ltda. - ME,4
Kidopi Soluções em Informática Médica Ltda (Kidopi),4
Veritas Biotecnologia Ltda,4
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",4
Eco Biotech Tecnologia em Manutenção Ltda. - ME,3
Santa Martha Jardins Ltda. - ME,3
Onkos Diagnósticos Moleculares Ltda (Filial),3
Yosen Indústria e Comércio de Produtos para Saúde Ltda,3
Souza P&D Farmacêutico Ltda,3
Avita Produtos Químicos Farmacêuticos Ltda,3
Eleve Science Pesquisa e Desenvolvimento Ltda,3
Neogenys Diagnóstico Molecular Ltda,2
Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,2
Noleak Tecnologia da Informação Ltda,2
Teiu Pesquisa e Desenvolvimento em Energia Ltda,2
Reload Health Devices Ltda,2
Sthenos Inovações em Saúde Ltda,2
V L Campo,2
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,2
TagmaVisions Treinamentos Digitais Ltda,2
Juan Harold Sosa Arnao,2
Lipid Ingredients & Technologies Ltda. - ME,2
Sigmed Equipamentos Eletrônicos Ltda. - EPP,2
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME,2
F W Grillo - ME,2
Sensorial Desenvolvimento de Software Ltda. - ME,2
Ciaware Centro de Informatizações e Análises Ltda,2
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,2
LCR Kimera Biotecnologia Ltda,2
INVITRA - Tecnologia da Reprodução Assistida Ltda,2
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),2
Virológica Soluções em Microbiologia Ltda,2
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),2
L A PHARMATEC PESQUISA E DESENVOLVIMENTO LTDA,1
EDITBIO BIOTECNOLOGIA LTDA,1
XAVIER & LOUREIRO BIOTEC LTDA,1
Clínica Ativa Ação Reabilitação Ltda. - ME,1
Monera Agrocencia Inova Simples (I.S),1
Paula C dos Santos Suporte Técnico e Desenvolvimento de Sistemas Ltda,1
SC Condi Assessoria Industrial,1
Bymycell Inova Simples Ltda,1
"Baltiere Indústria, Comércio, Exportação e Importação Ltda",1
PBF Nutrientes Ltda,1
Mario Cesar Souza e Silva,1
Bind Pesquisa e Desenvolvimento Ltda,1
Thiago Franco,1
Inanocare Ltda. - ME,1
Progenix Pesquisa e Artigos para Laboratório Ltda,1
BTZ Tecnologia Ltda,1
Rodrigo Aznar Mendes,1
Sardrones Aplicações e Serviços Agrícolas - Eireli,1
"Centro Paulista de Diagnóstico, Pesquisa e Treinamento Ltda (CPDP)",1
Adriana Ferreira Lopes Vilela,1
Radiologia IS Desenvolvimento de Programas Ltda,1
Gedanken Desenvolvimento e Licenciamento de Programas de Computador Ltda,1
Fernanda Rebel Moreira Alves,1
Centro Técnico de Avaliação Genética Ltda. - EPP,1
Microcontrol Innovation Ltda. - ME,1
G&G Cosmética Ltda. - ME,1
Exclusif Ltda. - EPP,1
Rafael Mira de Oliveira Libardi Eireli - ME,1
M C Tech Biotecnologia Ltda,1
Cross Reality Sistemas Ltda,1
"BRP Inovação, Assessoria e Representação Comercial Ltda",1
PHC Serviços Administrativos e Projetos Ltda. - ME,1
Capataz - Estatores Motores e Geradores Elétricos Eireli - ME,1
Nanophoton Ltda. - ME,1
Narcissus Pesquisa Clínica e Biotecnologia Ltda. - ME,1
Rad Tech Sistemas Médicos Ltda,1
Al Sukkar Biotecnologia Industrial Ltda. - ME,1
Pro Bio Pesquisa e Desenvolvimento Ltda. - ME,1
Visionbr Tecnologia e Informática Ltda,1
Millbox Comércio e Montagens de Equipamentos de Eletrônica Ltda,1
Mairum Ceoldo Andrade - ME,1
Heranza Biotecnologia Ltda. - ME,1
Technobag Indústria de Artefatos Plásticos Ltda. - ME,1
Genética Molecular Pesquisa e Desenvolvimento Ltda (GENON),1
Adiel Comercial Ltda,1
Bionova Mudas e Plantas Ltda,1
Technopulp Consultoria e Comércio de Equipamentos Industriais Ltda,1
